LocalTime;CPUTemp
07/04/2025 22:32;42
07/04/2025 22:32;42
07/04/2025 22:32;43
07/04/2025 22:32;43
07/04/2025 22:32;44
07/04/2025 22:32;44
07/04/2025 22:32;44
07/04/2025 22:32;46
07/04/2025 22:32;50
07/04/2025 22:32;51
07/04/2025 22:32;53
07/04/2025 22:33;56
07/04/2025 22:33;58
07/04/2025 22:33;57
07/04/2025 22:33;56
07/04/2025 22:33;56
07/04/2025 22:33;59
07/04/2025 22:33;59
07/04/2025 22:33;57
07/04/2025 22:33;59
07/04/2025 22:33;61
07/04/2025 22:33;60
07/04/2025 22:33;58
07/04/2025 22:34;56
07/04/2025 22:34;58
07/04/2025 22:34;60
07/04/2025 22:34;63
07/04/2025 22:34;61
07/04/2025 22:34;60
07/04/2025 22:34;58
07/04/2025 22:34;59
07/04/2025 22:34;62
07/04/2025 22:34;63
07/04/2025 22:34;66
07/04/2025 22:34;69
07/04/2025 22:35;69
07/04/2025 22:35;72
07/04/2025 22:35;74
07/04/2025 22:35;74
07/04/2025 22:35;76
07/04/2025 22:35;75
07/04/2025 22:35;70
07/04/2025 22:35;66
07/04/2025 22:35;64
07/04/2025 22:35;63
07/04/2025 22:35;62
07/04/2025 22:35;62
07/04/2025 22:36;61
07/04/2025 22:36;60
07/04/2025 22:36;59
07/04/2025 22:36;58
07/04/2025 22:36;59
07/04/2025 22:36;59
07/04/2025 22:36;57
07/04/2025 22:36;59
07/04/2025 22:36;61
07/04/2025 22:36;64
07/04/2025 22:36;63
07/04/2025 22:36;61
07/04/2025 22:37;64
07/04/2025 22:37;67
07/04/2025 22:37;71
07/04/2025 22:37;68
07/04/2025 22:37;65
07/04/2025 22:37;73
07/04/2025 22:37;73
07/04/2025 22:37;75
07/04/2025 22:37;68
07/04/2025 22:37;64
07/04/2025 22:37;62
07/04/2025 22:37;60
07/04/2025 22:38;59
07/04/2025 22:38;58
07/04/2025 22:38;57
07/04/2025 22:38;56
07/04/2025 22:38;59
07/04/2025 22:38;63
07/04/2025 22:38;68
07/04/2025 22:38;73
07/04/2025 22:38;76
07/04/2025 22:38;79
07/04/2025 22:38;80
07/04/2025 22:38;82
07/04/2025 22:39;82
07/04/2025 22:39;83
07/04/2025 22:39;85
07/04/2025 22:39;87
07/04/2025 22:39;87
07/04/2025 22:39;88
07/04/2025 22:39;88
07/04/2025 22:39;89
07/04/2025 22:39;89
07/04/2025 22:39;89
07/04/2025 22:39;89
07/04/2025 22:39;89
07/04/2025 22:40;85
07/04/2025 22:40;81
07/04/2025 22:40;81
07/04/2025 22:40;81
07/04/2025 22:40;80
07/04/2025 22:40;81
07/04/2025 22:40;83
07/04/2025 22:40;85
07/04/2025 22:40;86
07/04/2025 22:40;88
07/04/2025 22:40;88
07/04/2025 22:40;88
07/04/2025 22:41;87
07/04/2025 22:41;86
07/04/2025 22:41;86
07/04/2025 22:41;84
07/04/2025 22:41;76
07/04/2025 22:41;71
07/04/2025 22:41;74
07/04/2025 22:41;77
07/04/2025 22:41;79
07/04/2025 22:41;83
07/04/2025 22:41;82
07/04/2025 22:41;78
07/04/2025 22:42;82
07/04/2025 22:42;86
07/04/2025 22:42;89
07/04/2025 22:42;90
07/04/2025 22:42;91
07/04/2025 22:42;92
07/04/2025 22:42;93
07/04/2025 22:42;93
07/04/2025 22:42;93
07/04/2025 22:42;92
07/04/2025 22:42;93
07/04/2025 22:42;95
07/04/2025 22:43;94
07/04/2025 22:43;95
07/04/2025 22:43;94
07/04/2025 22:43;83
07/04/2025 22:43;82
07/04/2025 22:43;84
07/04/2025 22:43;78
07/04/2025 22:43;70
07/04/2025 22:43;68
07/04/2025 22:43;65
07/04/2025 22:43;63
07/04/2025 22:43;62
07/04/2025 22:44;61
07/04/2025 22:44;60
07/04/2025 22:44;59
07/04/2025 22:44;58
07/04/2025 22:44;57
07/04/2025 22:44;56
07/04/2025 22:44;55
07/04/2025 22:44;54
07/04/2025 22:44;57
07/04/2025 22:44;58
07/04/2025 22:44;57
07/04/2025 22:44;56
07/04/2025 22:45;55
07/04/2025 22:45;55
07/04/2025 22:45;55
07/04/2025 22:45;54
07/04/2025 22:45;53
07/04/2025 22:45;53
07/04/2025 22:45;52
07/04/2025 22:45;53
07/04/2025 22:45;57
07/04/2025 22:45;58
07/04/2025 22:45;56
07/04/2025 22:45;55
07/04/2025 22:46;55
07/04/2025 22:46;54
07/04/2025 22:46;54
07/04/2025 22:46;53
07/04/2025 22:46;52
07/04/2025 22:46;54
07/04/2025 22:46;54
07/04/2025 22:46;54
07/04/2025 22:46;53
07/04/2025 22:46;53
07/04/2025 22:46;52
07/04/2025 22:46;52
07/04/2025 22:47;51
07/04/2025 22:47;51
07/04/2025 22:47;51
07/04/2025 22:47;51
07/04/2025 22:47;52
07/04/2025 22:47;52
07/04/2025 22:47;53
07/04/2025 22:47;53
07/04/2025 22:47;52
07/04/2025 22:47;52
07/04/2025 22:47;51
07/04/2025 22:47;51
07/04/2025 22:48;51
07/04/2025 22:48;53
07/04/2025 22:48;53
